,created_at,date_of_purchase,description,id,last_tag_date,name,serial_number,updated_at
138,2018-03-15T14:04:02.590Z,2013-11-14T00:00:00.000Z,EBot,5aaa7d5294042f0b082b0384,,EBot 62040,62040,2018-03-15T14:04:02.590Z
139,2018-03-15T14:05:10.173Z,2013-11-14T00:00:00.000Z,EBot,5aaa7d9694042f16132b0329,,EBot 62041,62041,2018-03-15T14:05:10.173Z
140,2018-03-15T14:06:03.102Z,2013-11-14T00:00:00.000Z,EBot,5aaa7dcb94042f0b082b0388,,EBot 62042,62042,2018-03-15T14:06:03.102Z
141,2018-03-15T14:12:33.404Z,2013-11-14T00:00:00.000Z,EBot,5aaa7f5194042f0b082b038f,,EBot 62043,62043,2018-03-15T14:12:33.404Z
142,2018-03-15T14:13:58.010Z,2013-11-14T00:00:00.000Z,EBot,5aaa7fa694042f0b082b0392,,EBot 62045,62045,2018-03-15T14:13:58.010Z
143,2018-03-15T14:15:17.734Z,2013-11-20T00:00:00.000Z,EBot,5aaa7ff594042f0b082b0395,,EBot 62046,62046,2018-03-15T14:15:17.734Z
144,2018-03-15T14:17:22.618Z,2013-11-20T00:00:00.000Z,EBot,5aaa807294042f16132b033b,,EBot 62047,62047,2018-03-15T14:17:22.618Z
145,2018-03-15T14:22:45.707Z,2013-11-20T00:00:00.000Z,EBot,5aaa81b594042f16132b0345,,EBot 62048,62048,2018-03-15T14:22:45.707Z
146,2018-03-15T14:23:27.158Z,2013-11-20T00:00:00.000Z,EBot,5aaa81df94042f16132b0346,,EBot 62049,62049,2018-03-15T14:23:27.158Z
147,2018-03-15T14:25:18.117Z,2013-11-20T00:00:00.000Z,EBot,5aaa824e94042f16132b0349,,EBot 62056,62056,2018-03-15T14:25:18.117Z
148,2018-03-15T14:26:43.179Z,2013-11-20T00:00:00.000Z,EBot,5aaa82a394042f0b082b03a2,,EBot 62057,62057,2018-03-15T14:26:43.179Z
149,2018-03-15T14:47:26.261Z,2013-11-20T00:00:00.000Z,EBot,5aaa877e94042f0b082b03c5,,EBot 62058,62058,2018-03-15T14:47:26.261Z
150,2018-03-15T14:48:05.912Z,2013-11-20T00:00:00.000Z,EBot,5aaa87a594042f16132b0373,,EBot 62059,62059,2018-03-15T14:48:05.912Z
151,2018-03-15T14:48:36.982Z,2013-11-20T00:00:00.000Z,EBot,5aaa87c494042f16132b0375,,EBot 62060,62060,2018-03-15T14:48:36.982Z
152,2018-03-15T14:49:27.305Z,2013-11-27T00:00:00.000Z,EBot,5aaa87f794042f0b082b03c9,,EBot 62061,62061,2018-03-15T14:49:27.305Z
153,2018-03-15T14:50:03.134Z,2013-11-27T00:00:00.000Z,EBot,5aaa881b94042f16132b0376,2018-05-23T17:05:23.604+00:00,EBot 62063,62063,2018-03-15T14:50:03.134Z
154,2018-03-15T14:50:55.750Z,2013-11-27T00:00:00.000Z,EBot,5aaa884f94042f0b082b03cc,,EBot 62065,62065,2018-03-15T14:50:55.750Z
155,2018-03-15T14:51:34.720Z,2013-11-27T00:00:00.000Z,EBot,5aaa887694042f16132b037a,,EBot 62066,62066,2018-03-15T14:51:34.720Z
156,2018-03-15T14:56:39.343Z,2013-11-27T00:00:00.000Z,EBot,5aaa89a794042f0b082b03d1,,EBot 62067,62067,2018-03-15T14:56:39.343Z
157,2018-03-15T14:57:17.033Z,2013-11-27T00:00:00.000Z,EBot,5aaa89cd94042f0b082b03d5,,EBot 62068,62068,2018-03-15T14:57:17.033Z
158,2018-03-15T14:58:19.663Z,2014-02-03T00:00:00.000Z,EBot,5aaa8a0b94042f0b082b03d8,,EBot 62129,62129,2018-03-15T14:58:19.663Z
